"Extraversion_1","Extraversion_2","Extraversion_3","Extraversion_4","Extraversion_5","Extraversion_6","Extraversion_7","Extraversion_8","Extraversion_9","Extraversion_10","Extraversion_11","Extraversion_12","Agreeableness_1","Agreeableness_2","Agreeableness_3","Agreeableness_4","Agreeableness_5","Agreeableness_6","Agreeableness_7","Agreeableness_8","Agreeableness_9","Agreeableness_10","Agreeableness_11","Agreeableness_12","Conscientiousness_1","Conscientiousness_2","Conscientiousness_3","Conscientiousness_4","Conscientiousness_5","Conscientiousness_6","Conscientiousness_7","Conscientiousness_8","Conscientiousness_9","Conscientiousness_10","Conscientiousness_11","Conscientiousness_12","Neuroticism_1","Neuroticism_2","Neuroticism_3","Neuroticism_4","Neuroticism_5","Neuroticism_6","Neuroticism_7","Neuroticism_8","Neuroticism_9","Neuroticism_10","Neuroticism_11","Neuroticism_12","Openness_1","Openness_2","Openness_3","Openness_4","Openness_5","Openness_6","Openness_7","Openness_8","Openness_9","Openness_10","Openness_11","Openness_12"
3,3,2,2,3,3,2,1,2,1,3,3,4,3,3,4,3,3,3,3,2,2,4,4,4,3,2,4,3,3,4,4,3,3,3,3,3,3,4,3,3,3,2,4,3,3,3,3,3,3,4,3,2,1,3,4,3,3,3,2
3,3,3,3,3,2,3,3,4,3,3,2,3,3,3,3,3,2,3,3,3,4,2,3,3,3,3,2,3,2,4,3,3,2,2,4,2,2,2,3,2,3,2,2,2,3,3,2,4,3,3,3,4,3,4,3,3,3,5,3
2,3,4,3,3,2,3,2,2,2,2,3,4,3,3,4,4,5,4,5,4,4,4,4,3,3,3,2,3,3,3,4,3,3,3,3,4,2,3,3,3,2,3,3,4,3,4,4,3,2,3,2,3,4,4,3,2,4,3,2
2,2,3,2,1,2,3,3,2,2,2,2,2,2,4,3,3,3,3,2,2,3,3,3,4,5,4,3,5,3,2,3,2,3,4,4,5,4,5,5,5,5,5,4,5,5,5,5,3,4,2,3,3,3,4,5,3,4,3,3
3,4,3,4,4,3,3,4,4,4,4,3,3,3,4,4,3,3,3,4,3,4,3,3,3,2,2,3,2,1,3,3,3,2,2,3,3,3,1,1,3,1,3,2,2,2,2,2,4,4,3,4,4,3,3,3,2,5,4,3
2,3,3,2,3,3,2,3,3,4,3,3,4,5,3,5,4,4,3,3,4,3,5,4,2,2,1,2,2,2,2,2,2,1,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,4,4,4,3,3,3,4,4,3
4,4,3,4,3,3,3,3,2,4,3,3,3,4,4,4,4,4,4,4,4,5,5,4,3,3,4,3,2,2,3,4,3,3,2,3,5,5,4,3,5,5,5,5,4,5,5,4,2,2,1,2,3,2,3,2,1,2,2,3
2,3,2,3,3,3,3,2,2,4,3,3,3,2,3,2,3,3,3,2,3,3,2,2,2,2,3,2,2,3,3,3,2,3,2,3,3,5,4,5,4,4,3,3,4,5,4,4,3,2,4,2,3,3,3,3,3,2,3,4
4,4,5,5,3,4,4,4,3,4,3,4,2,3,3,2,3,3,4,3,4,2,2,3,5,3,3,3,3,3,3,4,3,3,3,3,3,4,4,2,2,3,3,3,4,4,5,3,4,5,5,4,5,5,4,4,5,5,5,4
4,4,4,3,4,5,4,3,5,5,5,3,2,2,2,3,3,3,3,4,3,3,2,2,3,3,5,3,4,3,3,3,3,2,2,4,3,4,4,4,4,3,3,3,5,4,3,4,4,4,3,3,4,3,4,3,3,3,3,5
3,3,3,4,2,3,3,3,4,3,4,3,3,3,2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,3,2,1,2,3,2,3,2,2,1,2,1,1,2,2
4,4,5,4,3,4,4,3,4,3,4,4,3,4,4,3,3,4,5,4,3,4,5,4,4,3,2,4,2,3,2,1,4,3,2,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,3,3,2,2,3,2,1,3,2,2
2,1,4,3,3,3,4,3,3,3,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,3,3,4,2,2,3,3,4,3,4,4,2,2,2,2,2,1,2,1,2,2,2,1,3,2,2,3,3,3,4,2,4,2,3,2
3,2,2,2,2,3,3,2,3,2,2,3,3,2,2,3,1,3,2,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,3,4,3,3,2,3,4,2,4,4,3,3,3,2,3,2,2,1,2,3,2,1,1,2
2,2,3,1,2,2,2,3,2,2,1,2,3,3,4,4,3,2,4,2,3,4,3,3,2,4,2,3,4,2,2,3,4,3,4,2,4,4,4,3,4,5,3,3,4,3,4,3,5,3,5,4,5,3,4,4,4,4,4,5
3,3,3,4,3,4,4,4,4,3,2,4,3,3,3,3,4,3,4,3,4,3,4,4,3,3,3,3,3,3,4,3,4,3,3,2,5,4,5,4,5,4,4,4,4,5,5,4,2,3,2,3,4,4,3,4,3,4,4,3
2,2,3,1,2,2,3,2,2,1,2,1,4,4,4,3,3,1,3,2,4,3,3,2,2,3,3,2,3,2,3,3,3,3,3,2,4,3,3,3,3,4,2,2,4,3,3,3,3,2,3,3,2,3,3,3,2,2,1,3
4,4,4,3,4,5,4,4,4,5,4,4,3,3,4,2,2,3,3,1,2,3,3,3,3,2,2,3,3,3,2,3,3,3,3,2,2,3,2,2,1,3,1,1,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3
4,4,4,4,5,4,3,4,5,5,4,3,2,3,2,4,5,3,2,4,3,3,3,5,3,4,2,3,3,2,2,3,1,4,3,2,2,3,3,2,3,2,3,3,3,3,3,3,4,3,3,4,4,3,5,4,5,4,4,3
3,2,2,2,2,2,2,2,2,2,3,2,3,3,3,4,2,3,4,2,3,3,3,3,2,2,1,1,1,1,1,2,2,1,1,3,2,3,4,4,3,4,3,3,3,4,3,3,4,4,5,3,5,5,4,4,5,5,4,4
4,4,3,3,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,4,4,4,4,4,4,3,5,4,4,3,4,4,3,5,4,4,4,4,3,4,3,4,3,4,4,4,5,4,3,5,3,4,3,4,5
4,5,4,4,5,4,4,5,4,4,4,5,2,3,2,2,3,3,2,3,3,3,2,3,4,4,3,3,5,4,4,4,5,3,4,4,4,4,5,5,4,5,4,5,4,4,5,4,3,3,2,3,3,4,3,4,3,3,3,3
4,4,4,4,4,4,4,4,3,5,4,3,4,4,4,3,4,4,4,4,4,3,4,5,3,3,4,3,3,3,2,3,4,2,2,2,2,1,2,3,3,3,1,2,2,3,2,3,4,2,5,4,4,5,3,3,4,3,3,3
2,1,2,3,2,1,1,3,2,2,2,3,3,2,3,4,2,4,3,2,3,2,4,2,4,3,2,3,2,4,3,2,3,2,2,3,4,1,2,2,2,3,1,1,2,2,2,2,3,2,2,1,1,2,1,2,2,2,3,2
3,3,4,2,2,2,1,2,3,2,2,3,2,1,1,2,2,3,1,3,2,1,2,1,1,2,3,2,3,1,2,2,3,2,3,2,3,3,4,3,4,3,3,3,3,3,4,3,1,1,1,1,1,2,1,1,1,2,1,1
4,4,5,4,4,4,5,5,4,5,4,5,2,3,2,3,3,2,2,2,2,1,3,3,2,4,4,4,4,4,3,4,4,5,3,3,3,2,3,3,3,3,3,3,3,2,3,3,4,4,4,4,4,5,4,4,4,3,3,4
3,2,3,3,3,2,3,3,3,2,3,3,4,4,4,4,5,4,5,3,4,4,5,4,2,2,2,3,3,3,3,2,2,2,3,3,3,3,3,3,2,3,4,3,2,3,3,3,2,2,3,3,3,2,3,3,3,2,2,4
2,2,1,2,1,2,2,3,2,2,3,2,4,3,2,3,3,2,3,3,3,2,3,3,3,3,5,4,4,4,4,4,4,4,4,4,3,2,3,2,3,2,2,2,2,3,4,1,2,3,3,3,3,4,3,3,2,4,4,2
4,4,4,4,4,5,4,4,2,4,4,3,3,2,3,3,3,2,2,2,3,3,3,2,1,1,1,1,2,1,1,1,1,1,2,1,2,4,3,3,3,3,4,3,3,1,3,3,1,2,2,3,2,1,2,1,1,3,3,2
2,2,3,3,4,3,4,3,2,3,3,3,2,3,3,2,3,2,1,3,4,3,2,4,2,3,3,3,2,4,3,3,3,2,3,3,2,2,2,2,4,2,2,3,2,2,3,3,2,3,2,3,3,2,2,4,2,3,2,3
5,4,3,3,3,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,3,5,4,4,5,3,4,4,4,4,3,3,4,4,3,4,3,3,3,3,2,2,3,2,4,2,3,3,3
2,3,4,2,3,2,4,4,2,2,2,3,2,2,2,2,2,2,1,2,2,2,3,2,4,3,3,5,3,4,4,5,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,5,4,5,4,3,4,4,4,4,3
3,3,3,4,4,5,4,3,4,4,2,4,2,1,1,2,2,3,2,2,2,2,2,1,1,2,2,3,3,3,2,2,2,2,3,3,3,5,4,3,3,3,3,3,3,3,3,4,2,3,2,2,3,2,2,2,2,2,3,2
2,3,3,2,4,3,4,3,4,2,3,3,2,3,4,3,3,2,3,3,3,3,3,3,2,3,2,2,2,2,1,2,2,2,2,1,2,3,3,3,3,2,2,2,2,2,3,2,3,3,3,3,3,2,3,3,3,2,3,3
2,2,3,2,4,2,3,3,3,4,3,1,3,4,3,4,3,2,3,4,3,3,3,4,2,2,1,2,2,2,4,3,3,2,2,3,3,2,2,2,3,2,4,2,2,3,2,3,4,3,3,2,3,3,3,4,4,4,2,3
3,3,3,3,2,3,3,3,2,2,3,3,3,1,2,3,1,2,1,1,3,2,2,1,2,3,1,2,2,2,2,1,2,2,2,2,3,3,3,4,2,4,4,4,3,3,3,3,4,5,4,4,3,3,4,3,4,4,5,5
3,2,1,2,1,2,2,2,3,2,2,2,1,1,1,2,2,1,2,1,2,2,1,1,4,3,3,2,2,2,2,3,2,3,2,3,4,2,4,4,3,4,3,4,2,3,3,3,1,2,2,2,2,3,3,2,2,2,2,3
5,3,3,4,2,4,4,3,4,2,4,3,4,3,3,2,4,3,4,4,2,4,2,3,1,2,2,2,1,2,2,3,2,2,2,3,2,2,1,1,2,1,1,1,1,1,1,1,2,3,4,3,4,3,4,3,3,3,4,2
3,2,2,2,3,4,2,3,2,4,3,1,3,2,3,3,3,3,3,3,4,4,4,3,3,3,2,1,1,2,2,3,2,3,2,2,3,5,4,3,3,4,5,4,3,3,4,4,4,4,4,4,4,3,4,3,3,4,5,3
2,2,2,1,3,2,3,2,2,2,2,3,2,2,4,4,3,3,3,3,3,3,3,3,3,4,5,4,5,3,4,4,1,4,5,4,2,3,3,3,3,4,4,3,3,3,5,3,4,2,4,2,4,3,3,3,3,3,4,3
4,4,5,5,4,4,5,5,5,4,5,5,2,1,2,1,1,2,2,2,3,1,1,2,3,4,3,4,3,3,2,4,3,3,3,4,4,3,4,4,4,5,3,3,4,4,4,3,3,3,3,4,4,4,2,4,2,4,2,4
2,1,2,1,3,2,4,3,2,3,2,2,3,3,4,4,3,3,3,3,4,2,3,4,5,3,4,3,3,3,4,4,3,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,3,4,2,2,2,4,3,4,2,3,3,3
2,2,3,2,2,2,2,3,1,3,3,3,1,1,2,2,1,1,3,2,1,2,1,1,3,5,4,5,3,4,3,4,4,3,3,3,4,4,3,2,3,3,3,2,4,3,4,4,1,1,1,2,1,2,1,2,2,1,1,1
3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,5,4,3,3,2,4,3,3,4,4,4,3,3,3,2,3,3,2,3,2,2,3,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1
4,3,1,3,3,3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,2,3,2,2,2,3,2,2,3,1,3,2,2,2,3,2,1,1,2,1,2,1,1,2,1,1,1,1,4,3,4,4,4,4,3,4,4,3,5,4
2,3,2,2,3,3,2,3,2,3,2,3,4,3,4,4,5,3,5,3,5,3,4,3,3,2,3,3,3,3,4,2,3,4,3,4,5,4,4,5,5,4,5,5,4,4,5,5,4,3,4,3,4,4,4,4,3,3,3,3
3,2,2,2,3,2,2,2,2,2,3,4,3,3,3,4,5,3,2,4,4,4,3,5,3,4,3,3,2,3,3,3,3,2,3,3,1,3,3,1,2,2,2,2,2,2,1,2,2,5,3,3,4,4,3,4,4,4,4,5
1,1,1,1,1,1,2,1,1,2,1,1,2,3,3,2,2,2,1,3,2,3,2,3,3,3,2,3,3,3,3,2,3,3,3,2,5,4,3,3,4,5,5,3,4,5,4,4,3,2,3,3,3,3,3,4,2,3,3,2
1,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,2,1,2,3,2,3,1,2,2,3,2,2,1,3,3,2,2,3,2,3,2,3,2,2,2,3,1,3,3,4,5,4,3,3,4,3,3,3,4,4,4
1,2,1,2,2,2,1,2,1,1,2,1,4,3,4,3,3,4,3,4,4,4,3,3,4,3,3,4,5,4,4,3,4,4,4,3,4,3,4,3,3,2,4,2,2,3,4,3,3,2,2,3,3,3,3,3,2,2,3,2
4,2,3,3,3,4,4,4,3,4,4,3,3,3,3,3,4,3,3,2,4,4,4,4,3,4,4,3,2,4,3,4,4,3,3,3,4,3,4,3,3,4,3,4,3,3,3,2,3,3,4,3,4,3,3,3,3,5,2,3
4,3,4,4,3,2,3,4,3,3,4,3,3,3,4,4,4,4,3,3,2,3,4,3,3,3,3,2,3,2,3,3,2,4,3,3,1,1,1,2,1,2,1,1,1,2,2,2,2,1,2,3,1,3,1,2,2,2,2,2
2,3,1,2,3,2,3,3,2,2,3,1,4,3,4,4,3,3,3,4,4,3,4,5,2,2,4,3,4,2,2,3,2,3,3,4,3,3,4,3,4,2,3,3,2,2,3,3,1,3,1,1,1,1,1,2,2,3,2,2
4,3,3,4,3,3,3,4,4,3,4,3,4,4,3,3,2,3,4,3,3,4,2,3,2,2,3,3,3,3,3,2,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,4,5,3,4,3,3,4,4,5,4,4
3,3,3,4,3,4,3,3,3,2,3,2,3,3,3,4,3,3,3,4,3,3,4,4,2,2,2,1,2,2,2,1,3,2,1,3,4,3,3,3,2,3,3,2,4,3,4,4,2,2,2,3,2,2,1,3,1,2,3,1
1,2,2,2,2,2,2,1,3,2,1,2,2,3,3,3,2,2,2,2,4,3,2,3,3,3,4,4,4,4,3,2,2,3,4,3,1,1,2,1,1,2,1,2,1,1,2,1,2,2,3,2,2,3,2,2,1,4,3,3
3,1,2,1,3,2,3,2,2,3,3,2,3,3,3,3,5,3,3,2,3,4,4,3,2,1,3,3,3,2,2,3,2,2,2,3,4,4,3,3,4,4,3,3,3,3,3,4,3,4,3,3,4,3,4,4,4,3,3,5
3,2,4,3,2,3,3,4,4,4,2,3,3,3,3,3,4,3,4,3,3,3,4,4,2,3,4,2,3,3,2,4,2,3,3,2,3,3,2,1,4,2,2,3,2,3,2,4,4,3,4,4,4,3,4,3,3,3,2,4
3,3,3,2,2,4,4,3,3,3,3,2,3,4,3,4,3,3,5,4,5,3,4,4,3,4,4,5,4,4,3,4,3,3,3,4,4,4,4,4,3,4,3,4,3,3,3,3,4,4,3,3,2,4,4,3,5,4,3,5
3,3,3,3,4,4,4,5,5,3,4,5,2,1,1,1,2,1,2,1,2,3,2,1,3,4,3,2,4,2,4,3,3,3,4,3,3,3,3,3,5,4,5,4,4,5,3,4,2,3,2,2,3,2,3,4,3,2,3,4
3,2,2,4,4,4,3,4,4,2,4,4,5,3,4,3,4,4,4,2,4,2,3,2,3,2,3,3,3,3,2,2,4,3,3,3,3,2,3,2,3,2,3,3,3,4,2,4,4,3,4,5,4,3,4,5,5,3,3,3
3,5,3,2,3,3,3,4,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,1,2,1,2,2,1,1,2,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,2,2
3,3,3,3,4,4,3,5,3,4,3,4,3,5,3,4,4,3,4,4,5,3,4,4,4,3,4,2,4,3,3,5,4,3,2,3,4,3,4,4,3,2,5,4,3,3,4,4,2,2,4,3,3,4,4,2,4,4,3,3
3,2,3,3,2,3,3,3,3,2,2,2,4,5,4,5,5,5,5,4,5,4,4,4,5,5,5,5,4,5,5,5,4,5,4,5,3,5,4,3,4,4,5,4,4,4,3,4,4,5,4,4,5,3,4,4,5,4,3,4
3,1,3,2,3,3,3,3,2,3,2,3,2,3,2,3,3,2,2,1,2,2,2,2,3,2,3,3,3,3,4,3,3,3,3,3,2,3,3,4,3,2,3,4,3,2,2,2,2,4,3,2,2,3,3,2,3,1,2,2
4,4,4,4,3,5,3,4,3,5,4,4,2,3,4,3,4,3,4,4,3,3,4,4,4,4,4,4,5,4,4,4,4,5,5,4,2,3,3,4,3,3,3,3,3,3,4,4,2,2,3,2,4,3,2,3,2,3,3,2
4,4,2,3,3,4,2,4,4,3,3,3,3,4,4,2,4,3,2,3,2,3,3,3,2,1,2,2,2,1,1,2,2,1,2,2,3,4,5,5,4,5,3,5,4,4,4,4,3,4,3,3,3,3,4,3,4,3,3,4
2,3,3,2,2,3,3,3,3,2,3,3,3,3,2,2,2,3,3,2,1,2,2,1,3,4,5,5,4,5,3,4,5,3,5,4,3,4,4,3,4,3,4,3,2,3,3,2,2,3,3,1,2,3,3,4,3,3,3,3
3,4,4,3,2,2,3,3,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,4,2,4,4,3,2,3,3,4,3,3,3,3,2,1,2,2,2,1,2,2,1,1,1,4,4,3,3,3,2,3,4,3,4,2,3
4,3,2,2,3,3,1,3,3,4,3,3,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,1,2,3,3,2,2,1,2,3,2,2,2,1,2,2,2,2,2,1,2,2,3,2,1,1,2,1,1,2,3,1,2,2
4,4,3,4,4,5,4,3,3,3,3,4,4,3,3,2,2,3,3,2,3,2,3,2,2,4,3,2,3,3,4,2,4,3,3,3,2,3,4,2,2,2,3,3,2,3,3,2,3,2,4,3,4,2,3,2,4,3,2,4
1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,1,2,4,3,2,2,3,2,3,2,3,3,4,4,4,4,4,4,3,4,3,4,4,3,3,4,2,2,3,2,3,3,4,3,3,3
1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,3,2,2,2,2,1,2,3,3,2,3,2,3,2,2,1,4,3,1,2,3,3,2,2,2,2,1,1,1,2,2,1,2,1,2,3
3,3,4,2,3,3,3,3,3,5,3,2,3,2,4,2,3,4,3,3,2,3,3,3,4,2,3,4,3,3,3,3,3,3,3,3,4,5,4,4,3,4,4,4,5,4,5,3,4,4,5,4,4,4,5,5,4,5,5,5
3,4,4,3,3,3,3,2,3,3,4,3,4,4,3,3,2,3,3,3,3,3,3,3,2,4,2,2,2,3,2,3,3,2,2,2,3,3,3,3,2,2,2,2,3,2,3,2,4,4,5,5,4,4,4,4,5,5,3,5
3,2,3,3,3,2,3,3,1,1,3,3,3,3,2,2,3,3,1,2,2,3,3,2,4,4,3,4,4,3,3,2,4,3,3,3,3,1,2,3,2,2,2,3,3,3,3,3,1,3,2,2,2,3,3,2,3,2,2,3
2,3,3,3,3,3,3,2,4,4,3,3,3,2,4,2,3,2,3,2,4,3,1,3,5,4,5,5,4,5,5,5,5,5,4,5,4,4,4,4,4,5,3,3,4,3,3,5,4,3,2,3,4,3,3,3,3,3,4,4
2,2,2,2,3,4,3,3,2,2,3,2,1,1,3,1,2,1,2,2,3,1,3,2,2,3,1,2,1,2,2,3,2,3,2,2,3,3,4,4,4,2,4,3,3,3,3,4,3,3,4,3,3,2,3,3,2,4,4,4
3,4,3,4,4,4,4,4,5,5,5,4,3,3,4,3,3,3,2,2,3,3,3,2,4,4,3,4,4,4,3,5,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,1,1,1,3,2,1,2,2,3,2,2,2
3,3,3,3,4,4,3,4,3,3,4,4,3,4,3,3,2,3,4,3,3,3,3,4,4,2,4,4,3,3,4,4,3,3,3,4,3,3,1,3,3,2,3,4,3,2,3,3,4,4,3,4,4,2,4,3,3,3,4,2
5,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3,2,3,2,4,4,2,3,3,3,5,4,5,3,4,5,3,5,4,3,3,3,3,2,1,4,3,3,2,3,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5
2,3,2,2,2,4,2,2,2,3,2,1,5,4,3,4,3,5,4,4,4,4,4,3,3,5,4,4,3,4,4,4,4,4,3,4,5,2,4,2,5,5,2,3,3,4,3,4,4,5,4,4,4,4,4,3,3,3,3,5
4,3,4,4,4,3,2,4,3,5,1,4,1,2,2,2,2,2,2,2,1,2,1,1,3,5,4,5,4,5,4,5,4,3,3,5,2,4,3,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,4,4,4,2,3,3
1,2,1,2,1,1,1,1,1,1,2,2,3,4,4,3,4,4,3,3,4,2,3,3,3,2,1,1,2,2,2,1,1,1,1,2,3,3,3,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,4,3,3
2,4,3,3,4,3,3,4,4,3,3,3,3,5,4,3,3,4,4,5,4,3,3,3,2,3,3,2,3,5,5,3,3,3,3,2,4,4,4,4,4,3,3,3,2,3,3,5,4,4,3,3,4,3,5,4,3,3,3,4
3,4,5,4,4,4,4,4,3,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,2,3,2,3,1,1,1,3,1,2,2,2,5,4,3,3,3,4,4,3,3,3,2,4,4,3,5,4,4,2,4,3,4,4,3,2
2,3,2,1,2,2,3,1,2,3,3,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,3,2,3,1,3,3,1,2,4,3,3,4,3,4,3,3,3,3,3,4,3,3,2,2,2,3,2,1,2,2,2,2
5,5,5,5,4,5,5,5,5,5,5,5,4,3,4,4,3,5,4,4,4,4,4,4,3,2,5,3,2,4,3,4,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,5,5,5,5,5,5,5,5,5,4,5,5
3,2,3,3,4,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,3,3,3,2,3,2,2,3,2,1,2,3,2,5,4,4,4,3,4,4,5,5,4,5,3,3,2,3,2,2,2,3,2,4,3,2,2
2,3,1,2,1,1,2,2,2,2,3,3,4,3,5,4,3,3,2,3,3,3,3,3,4,3,4,2,2,3,3,2,3,3,3,3,2,3,4,4,4,3,3,4,4,4,4,4,2,1,1,2,3,2,2,2,1,2,2,2
1,3,3,2,3,1,3,3,1,4,2,3,4,4,3,4,4,4,4,4,3,3,3,4,3,3,3,3,4,4,4,2,4,4,4,4,3,3,2,4,4,3,3,3,3,2,3,2,3,3,3,3,3,4,1,3,3,3,3,2
2,4,2,3,3,3,4,3,4,3,2,2,3,4,4,4,4,4,3,5,5,4,4,4,2,3,4,3,2,3,4,3,3,2,3,3,4,3,3,3,4,3,3,3,2,2,3,4,1,1,3,2,3,3,2,2,3,3,3,3
3,2,1,2,1,2,3,2,3,2,1,2,3,3,2,2,1,3,2,3,4,2,3,2,2,3,2,3,3,3,2,3,3,3,3,2,3,2,2,1,1,2,2,1,3,3,2,2,2,2,3,1,1,3,3,1,2,2,2,1
